epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.1444,0,1,1,0,6e-05,6e-05,6e-05
2,11.1448,0,1,1,0,0.000139931,0.000139931,0.000139931
3,12.8717,0,1,1,0,0.000219782,0.000219782,0.000219782
4,14.6882,0,1,1,0,0.000299555,0.000299555,0.000299555
5,16.4079,0,1,1,0,0.000379248,0.000379248,0.000379248
6,18.2085,0,1,1,0,0.000458862,0.000458862,0.000458862
7,19.9372,0,1,1,0,0.000538396,0.000538396,0.000538396
8,21.684,0,1,1,0,0.000617852,0.000617852,0.000617852
9,23.4097,0,1,1,0,0.000697228,0.000697228,0.000697228
10,25.1637,0,1,1,0,0.000776525,0.000776525,0.000776525
11,26.9078,0,1,1,0,0.000855743,0.000855743,0.000855743
12,28.6298,0,1,1,0,0.000934882,0.000934882,0.000934882
13,30.4553,0,1,1,0,0.00101394,0.00101394,0.00101394
14,32.3842,0,1,1,0,0.00109292,0.00109292,0.00109292
15,34.1409,0,1,1,0,0.00117182,0.00117182,0.00117182
16,35.9644,0,1,1,0,0.00125064,0.00125064,0.00125064
17,37.7033,0,1,1,0,0.00132939,0.00132939,0.00132939
18,39.5401,0,1,1,0,0.00140805,0.00140805,0.00140805
19,41.2765,0,1,1,0,0.00148664,0.00148664,0.00148664
20,43.1208,0,1,1,0,0.00156514,0.00156514,0.00156514
21,44.8725,0,1,1,0,0.00164357,0.00164357,0.00164357
22,46.6207,0,1,1,0,0.00172191,0.00172191,0.00172191
23,48.3625,0,1,1,0,0.00180018,0.00180018,0.00180018
24,50.2687,0,1,1,0,0.00187837,0.00187837,0.00187837
25,52.1621,0,1,1,0,0.00195648,0.00195648,0.00195648
26,54.0617,0,1,1,0,0.00197525,0.00197525,0.00197525
27,55.8243,0,1,1,0,0.00197426,0.00197426,0.00197426
28,57.5568,0,1,1,0,0.00197327,0.00197327,0.00197327
29,59.3684,0,1,1,0,0.00197228,0.00197228,0.00197228
